vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
1951-1952,666,"Зимин, С.",ЗиминС,Как научиться плавать,NA,NA,NA,М.; Л.,Детгиз,1951,NA,24,45000,0.5,NA
1951-1952,672,NOAUTHOR,NA,Золотые искорки,Литературно-художественный сборник,"/: Редакционная коллегия: Б. И. Братчиков, А. Я. Гирман, К. Л. Немира, Г. М. Пушкарев, В. Е. Соколова. Е. К. Стюарт, Т. Ф. Ярунцева.",NA,Новосибирск,Новосибирское областное государств. изд-во,1951,NA,320,30000,12.15,"Казимир Лисовский. Есть на свете Москва; Елизавета Стюарт. На конференции сторонников мира; Казимир Лисовский. Домик в Курейке; Елизавета Стюарт. Подрастают герои; Елизавета Стюарт. Рассказ о дубах; Елизавета Стюарт. Путешественник; Елизавета Стюарт. Таня; О. Хавкин. Тайна старого фрегата; Хуа Шань. Письмо с петушиными перьями; Юрий Леви-танский. Священное имя; Юрий Левитанский. Начало подвига; Юрий Левитанский. Традиции «Авроры»; И. Ефремов. Повесть о юном партизане; А. Пинаев. Письмо другу; Н. Устинович. Зеленый клад; Евгений Павличенко. Мишина модель; Евгений Павличенко. Мечта; И. Молчанов-Сибирский. Письмо; И. Молчанов-Сибирский. Орден Ленина; И. Молчанов-Сибирский. Упорный паренек; И. Молчанов-Сибирский. Пионеры помогли; И. Молчанов-Сибирский. Впервые на экзамены; Глеб Пушкарев. Рассказы о дружбе; Кондр. Урманов. Зимняя сказка; Арк. Локерман. День рождения; Михаил Михеев. История про двойку; Михаил Михеев. Московский состав; Б. Александровский. У Красного мыса; М. Сергеев. Сережин год; М. Сергеев. Радист в лесу; М. Сергеев. Звездочет; Агния Кузнецова. Кукушка; .Э. Сло-бодчиков. Рассказ для школьников о том, как был построен птичий дом; Е. Жилкина. Маринкин гербарий; В. Пухначев. Охотничьи встречи; Михаил Лесной. Рассказы натуралиста; Г. В. Крылов. В дубовых рощах. (Очерк.); Н. Воротникова. Школьные конференции. (Очерк.); Иван Титков Юные художники"
1951-1952,691,"Иванченко, Н.",ИванченкоН,Как сажать деревья,NA,NA,NA,М.; Л.,Детгиз,1951,NA,20,45000,0.45,NA
1951-1952,692,"Иванченко, Н.",ИванченкоН,Как сделать аквариум и террариум,NA,NA,NA,М.; Л.,Детгиз,1951,NA,24,100000,0.55,NA
1951-1952,693,"Иванченко, Н.",ИванченкоН,Как сделать аквариум и террариум,NA,NA,NA,М.; Л.,Детгиз,1952,В помощь самодеятельности пионеров и школьников. Школьная библиотека.,24,100000,0.4,NA
1951-1952,694,"Иванченко, Н.",ИванченкоН,Как устроить ловушки для зверей,NA,NA,NA,М.; Л.,Детгиз,1952,В помощь самодеятельности пионеров и школьников. Школьная библиотека.,11,100000,0.2,NA
1951-1952,697,NOAUTHOR,NA,Изучай свой край,Книга юного краеведа. Научная редакция лауреата Сталинской премии проф. С.  В. Обручева,"Художественное оформление Т. Ксенофонтова, А. Костровой, Б. Георгиева, А. Ушина, Е. Войшвилло, Б. Толмачева.",NA,Л.,Огиз—Молодая гвардия,1951,NA,267,50000,8,С. В. Обручев. Введение; А. А. Хршановский. Ориентирование и глазомерная съемка; М. М. и Н. М. Толстихи-ны. Геологические наблюдения; А. Е. Ферсман. Как собирать минералы; И. И. Бабков. Как изучать рельеф; О. А. Спенглер. Как наблюдать и предсказывать погоду; О. А. Спенглер. Изучение рек и озер; В. Д. Лопатин. Изучение почв; В. Д. Лопатин. Растительность нашей страны; Л. Н. Попов. Изучение животных; В. Ф. Гайдукевич. Работа юного археолога; И. П Ша-скольский. По страницам истории
1951-1952,698,"Ильин, М.",ИльинМЯ,Покорение природы,NA,NA,NA,Воронеж,Воронежское областное кн-во,1951,NA,167,15000,5.75,NA
1951-1952,710,NOAUTHOR,NA,Как изготовить гигрометр,Методические указания,NA,NA,Кострома,Акад. пед. наук СССР,1951,Костромской областной отдел народного образования. Костромская областная станция юных техников и натуралистов,NA,2000,NA,NA
1951-1952,711,NOAUTHOR,NA,Как изготовить электрозвонок,Методические указания,NA,NA,Кострома,Акад. пед. наук СССР,1951,Костромской областной отдел народного образования. Костромская областная станция юных техников и натуралистов,NA,2000,NA,NA
